movie_name,distributor,release_date,release_year,total_audience,log_total_audience,detail_url,genre,runtime_minutes,is_domestic,language,rating
Fatih'in Fedaisi: Kara Murat,Pin.,16 Ocak 2015,2015,151416,11.927786294718755,https://boxofficeturkiye.com/film/fatih-in-fedaisi-kara-murat--2011052,Aksiyon,105,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Paranormal Activity 5: Hayalet Boyutu,UIP,23 Ekim 2015,2015,150500,11.921718363171069,https://boxofficeturkiye.com/film/paranormal-activity-5-hayalet-boyutu--2011602,"Korku, Gerilim, 3 Boyutlu",88,0,Foreign,15 yaş ve üzeri izleyici kitlesi içindir.
Yedinci Oğul,UIP,30 Ocak 2015,2015,146870,11.897303120747909,https://boxofficeturkiye.com/film/yedinci-ogul--2011565,"Gerilim, Fantastik, 3 Boyutlu",102,0,Foreign,13 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Kuzular Firarda,M3,17 Nisan 2015,2015,148193,11.906270757260302,https://boxofficeturkiye.com/film/kuzular-firarda--2012610,Animasyon,85,0,Foreign,Genel İzleyici Kitlesi.
Kod Adı: U.N.C.L.E.,WB,28 Ağustos 2015,2015,140653,11.854051143231946,https://boxofficeturkiye.com/film/kod-adi-u-n-c-l-e--2012200,"Macera, Komedi, Aksiyon",116,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Pixels,WB,21 Ağustos 2015,2015,139982,11.849269121896857,https://boxofficeturkiye.com/film/pixels--2011277,"Macera, Aksiyon, 3 Boyutlu",105,0,Foreign,13 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Aşk Olsun,CGV Mars,10 Nisan 2015,2015,133428,11.80131728549125,https://boxofficeturkiye.com/film/ask-olsun--2012516,Romantik-Komedi,95,1,Turkish,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Barbie Prenses ve Rock Star,UIP,14 Ağustos 2015,2015,127264,11.754018948007417,https://boxofficeturkiye.com/film/barbie-prenses-ve-rock-star--2012615,Animasyon,84,0,Foreign,Genel İzleyici Kitlesi.
Pırdino Sürpriz Yumurta,CGV Mars,20 Kasım 2015,2015,131488,11.786670871683135,https://boxofficeturkiye.com/film/pirdino-surpriz-yumurta--2012873,Aile,76,1,Turkish,Genel İzleyici Kitlesi.
Stajyer,WB,25 Eylül 2015,2015,126963,11.751650984410722,https://boxofficeturkiye.com/film/stajyer--2012194,Komedi,121,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Whiplash,M3,16 Ocak 2015,2015,139085,11.84284053600766,https://boxofficeturkiye.com/film/whiplash--2012503,"Dram, Müzik",107,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Karlar Kraliçesi 2,CGV Mars,1 Mayıs 2015,2015,123905,11.727270421928088,https://boxofficeturkiye.com/film/karlar-kralicesi-2--2012519,Animasyon,81,0,Foreign,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Bizim Hikaye,ChF,27 Mart 2015,2015,124903,11.735292715040584,https://boxofficeturkiye.com/film/bizim-hikaye--2012598,"Dram, Aksiyon",97,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Ayı Teddy 2,UIP,10 Temmuz 2015,2015,121556,11.708130340928289,https://boxofficeturkiye.com/film/ayi-teddy-2--2012010,Komedi,115,0,Foreign,15 yaş ve üzeri izleyici kitlesi içindir.
Asteriks: Roma Sitesi,CGV Mars,27 Şubat 2015,2015,120895,11.70267767925471,https://boxofficeturkiye.com/film/asteriks-roma-sitesi--2010890,"Animasyon, 3 Boyutlu",85,0,Foreign,Genel İzleyici Kitlesi.
Selfless,Pin.,10 Temmuz 2015,2015,118223,11.680327950473234,https://boxofficeturkiye.com/film/selfless--2011872,Bilim-Kurgu,117,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Pişt,CGV Mars,29 Mayıs 2015,2015,116017,11.661492011074984,https://boxofficeturkiye.com/film/pist--2012722,Komedi,98,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Müzede Bir Gece: Lahitteki Sır,TME,2 Ocak 2015,2015,115632,11.65816801352276,https://boxofficeturkiye.com/film/muzede-bir-gece-lahitteki-sir--2011827,"Komedi, Aile, Aksiyon",98,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Mihrez: Cin Padişahı,ChF,17 Nisan 2015,2015,113699,11.641309884625192,https://boxofficeturkiye.com/film/mihrez-cin-padisahi--2012395,"Korku, Gerilim",101,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Sebahat & Melahat,CF,17 Nisan 2015,2015,108110,11.590904506286815,https://boxofficeturkiye.com/film/sebahat-melahat--2012457,Komedi,90,1,Turkish,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
En Güzeli,CGV Mars,28 Ağustos 2015,2015,107663,11.58676125722922,https://boxofficeturkiye.com/film/en-guzeli--2012612,Komedi,92,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Ruhlar Bölgesi Bölüm 3,WB,5 Haziran 2015,2015,105639,11.567782900254944,https://boxofficeturkiye.com/film/ruhlar-bolgesi-bolum-3--2012338,Korku,97,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Şeytan-ı Racim 2: İfrit,MC,5 Haziran 2015,2015,105600,11.5674136502543,https://boxofficeturkiye.com/film/seytan-i-racim-2-ifrit--2012581,"Korku, Gerilim",85,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Bana Adını Sor,CGV Mars,13 Mart 2015,2015,103962,11.5517807267389,https://boxofficeturkiye.com/film/bana-adini-sor--2012564,"Dram, Romantik",110,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Kağıttan Kentler,TME,24 Temmuz 2015,2015,98562,11.498441070769257,https://boxofficeturkiye.com/film/kagittan-kentler--2012364,"Dram, Romantik",109,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Madımak: Carina'nın Günlüğü,Pin.,25 Eylül 2015,2015,98044,11.493171636483368,https://boxofficeturkiye.com/film/madimak-carina-nin-gunlugu--2012762,Dram,90,1,Turkish,18 yaş ve üzeri izleyici kitlesi içindir.
Mazlum Kuzey,WB,16 Ocak 2015,2015,93326,11.443854018967809,https://boxofficeturkiye.com/film/mazlum-kuzey--2012312,Komedi,103,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Dağ 2,CGV Mars,4 Kasım 2016,2016,3602511,15.097141660286267,https://boxofficeturkiye.com/film/dag-2--2013143,"Dram, Savaş",135,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Kardeşim Benim,CGV Mars,15 Ocak 2016,2016,2070949,14.543517514289857,https://boxofficeturkiye.com/film/kardesim-benim--2012843,"Komedi, Dram",118,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Dedemin Fişi,UIP,22 Ocak 2016,2016,2015665,14.516459723730604,https://boxofficeturkiye.com/film/dedemin-fisi--2012136,Komedi,100,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Osman Pazarlama,WB,19 Şubat 2016,2016,1983777,14.500513161316144,https://boxofficeturkiye.com/film/osman-pazarlama--2012720,Komedi,114,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Görümce,CGV Mars,2 Aralık 2016,2016,1914199,14.464809816332355,https://boxofficeturkiye.com/film/gorumce--2012972,Komedi,110,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Batman v Superman: Adaletin Şafağı,WB,25 Mart 2016,2016,1462002,14.19531728727998,https://boxofficeturkiye.com/film/batman-v-superman-adaletin-safagi--2012006,"Fantastik, Aksiyon, 3 Boyutlu",151,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Kolpaçino 3.Devre,UIP,11 Mart 2016,2016,1412639,14.16097014424072,https://boxofficeturkiye.com/film/kolpacino-3-devre--2012602,Komedi,93,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
İkimizin Yerine,UIP,21 Ekim 2016,2016,1373260,14.13269803317362,https://boxofficeturkiye.com/film/ikimizin-yerine--2013310,"Dram, Romantik",126,1,Turkish,15 yaş ve üzeri izleyici kitlesi içindir.
Kocan Kadar Konuş: Diriliş,UIP,1 Ocak 2016,2016,1332907,14.102872829285124,https://boxofficeturkiye.com/film/kocan-kadar-konus-dirilis--2012887,Romantik-Komedi,109,1,Turkish,Genel İzleyici Kitlesi.
Çakallarla Dans 4,UIP,25 Kasım 2016,2016,1351247,14.116538427766578,https://boxofficeturkiye.com/film/cakallarla-dans-4--2013308,Komedi,110,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Buz Devri 5: Büyük Çarpışma,TME,15 Temmuz 2016,2016,1308876,14.08467931160437,https://boxofficeturkiye.com/film/buz-devri-5-buyuk-carpisma--2012087,"Animasyon, 3 Boyutlu",94,0,Foreign,Genel İzleyici Kitlesi.
Ekşi Elmalar,CGV Mars,28 Ekim 2016,2016,1237921,14.0289439175896,https://boxofficeturkiye.com/film/eksi-elmalar--2013184,"Komedi, Dram, Romantik",114,1,Turkish,Genel İzleyici Kitlesi.
Kaptan Amerika: Kahramanların Savaşı,UIP,6 Mayıs 2016,2016,1165583,13.96873194899356,https://boxofficeturkiye.com/film/kaptan-amerika-kahramanlarin-savasi--2011933,"Macera, Aksiyon, 3 Boyutlu",147,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Suikast,CGV Mars,26 Ağustos 2016,2016,1123237,13.931725253306563,https://boxofficeturkiye.com/film/suikast--2012575,"Suç, Aksiyon",98,0,Foreign,15 yaş ve üzeri izleyici kitlesi içindir.
Deadpool,TME,12 Şubat 2016,2016,1122044,13.93066257998214,https://boxofficeturkiye.com/film/deadpool--2012473,"Macera, Fantastik, Aksiyon",108,0,Foreign,15 yaş ve üzeri izleyici kitlesi içindir.
İftarlık Gazoz,CGV Mars,29 Ocak 2016,2016,1031094,13.846130932460882,https://boxofficeturkiye.com/film/iftarlik-gazoz--2012847,"Komedi, Dram",115,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Suicide Squad: Gerçek Kötüler,WB,12 Ağustos 2016,2016,956706,13.771251413205077,https://boxofficeturkiye.com/film/suicide-squad-gercek-kotuler--2012568,"Macera, Bilim-Kurgu, Aksiyon, 3 Boyutlu",123,0,Foreign,15 yaş ve üzeri izleyici kitlesi içindir.
Küçük Esnaf,CGV Mars,8 Nisan 2016,2016,832050,13.63164781415149,https://boxofficeturkiye.com/film/kucuk-esnaf--2012974,Komedi,104,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
